Num_Acc,annee,dep,lat,long,lum,atm,col,circ,nbv,prof,surf,infra,situ,vma,catv,mois,jour,target
202000000584,2020,59,50.62898,2.958167,3.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,110.0,7.0,10.0,18.0,0
202000000585,2020,59,50.608483,3.094142,3.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,15.0,1
202000000586,2020,94,48.7618376,2.3448208,5.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,50.0,10.0,10.0,19.0,1
202000000587,2020,91,48.63655,2.39924,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,1
202000000587,2020,91,48.63655,2.39924,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000588,2020,78,48.881316,2.016029,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,1
202000000588,2020,78,48.881316,2.016029,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000589,2020,92,48.83449,2.17064,1.0,1.0,4.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,18.0,0
202000000589,2020,92,48.83449,2.17064,1.0,1.0,4.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,18.0,0
202000000589,2020,92,48.83449,2.17064,1.0,1.0,4.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,18.0,0
202000000589,2020,92,48.83449,2.17064,1.0,1.0,4.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,18.0,1
202000000590,2020,77,48.6312605,2.6288041,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,1
202000000590,2020,77,48.6312605,2.6288041,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000590,2020,77,48.6312605,2.6288041,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000590,2020,77,48.6312605,2.6288041,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000590,2020,77,48.6312605,2.6288041,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,1
